name,set,availability,rarity,rating,num_votes,categories,pic
8-Ball vs Scratch,Stripes and Solids,Battle Pass,Epic,3.9,10000.0,"['Enlightened', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/10/fortnite-scratch-skin-featured-137x300.png
A.I.M.,A.I.M.,Battle Pass,Legendary,3.1,14600.0,"['Male', 'Mystery Skin', 'Robot']",https://progameguides.com/wp-content/uploads/2018/11/fortnite-aim-icon-png-300x300.png
Absolute Zero,Arctic Command,Shop,Rare,2.7,11700.0,['Male'],https://progameguides.com/wp-content/uploads/2018/08/fortnite-absolute-zero-featured-png-300x300.png
Abstrakt,Aerosol Assassins,Shop,Epic,3.2,11900.0,['Male'],https://progameguides.com/wp-content/uploads/2018/08/fortnite-abstrakt-icon-png-300x300.png
Adeline,Colorway,Shop,Rare,3.3,941.0,['Styles'],https://progameguides.com/wp-content/uploads/2020/08/fortnite-adeline-skin-featured-300x300.png
Aerial Threat,Goalbound,Shop,Rare,2.3,10400.0,"['Male', 'Soccer', 'Sports', 'Styles']",https://progameguides.com/wp-content/uploads/2018/08/fortnite-aerial-threat-featured-png-300x300.png
Aerobic Assassin,Spandex Squad,Shop,Epic,1.9,10400.0,['Female'],https://progameguides.com/wp-content/uploads/2018/08/fortnite-aerobic-assassin-featured-png-300x300.png
Aeronaut,Sky Stalker,Shop,Rare,2.8,4400.0,['Male'],https://progameguides.com/wp-content/uploads/2019/08/fortnite-aeronaut-skin-icon-300x300.png
Agent Peely,Banana Royale,Battle Pass,Epic,3.8,5200.0,"['Enlightened', 'Male']",https://progameguides.com/wp-content/uploads/2020/02/fortnite-agent-peely-skin-icon-300x300.png
Airhead,Airhead,Shop,Rare,3.0,8400.0,['Male'],https://progameguides.com/wp-content/uploads/2019/06/fortnite-airhead-skin-featured-300x300.png
Airheart,Aviation Age,Shop,Rare,2.5,9300.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-airheart-featured-png-300x300.png
Alpine Ace (CAN),Winter Ski,Shop,Epic,3.3,2400.0,"['Male', 'Skiing', 'Sports']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-alpine-ace-can-icon-png-300x300.png
Alpine Ace (CHN),Winter Ski,Shop,Epic,2.9,2000.0,"['Male', 'Skiing', 'Sports']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-alpine-ace-chn-icon-png-300x300.png
